"35+","m","sweater","<100k","murah","Setiap bulan","Harga","Marketplace","Sering","Agak tertarik","Mungkin","netral","kasual"
"35+","m","jas","<100k","murah","Setiap bulan","Harga","Marketplace","Sering","Agak tertarik","Mungkin","netral","kasual"
"35+","m","pakaian-pria","<100k","murah","Setiap bulan","Harga","Marketplace","Sering","Agak tertarik","Mungkin","netral","kasual"
"35+","m","pakaian-wanita","300-600k","sedang","Setiap bulan","Harga","Marketplace","Sering","Agak tertarik","Mungkin","netral","kasual"
"35+","m","sweater","<100k","murah","Setiap bulan","Harga","Marketplace","Sering","Agak tertarik","Mungkin","netral","kasual"
"35+","m","pakaian-wanita","<100k","murah","Setiap bulan","Harga","Marketplace","Sering","Agak tertarik","Mungkin","netral","kasual"
"35+","m","jaket","300-600k","sedang","Setiap bulan","Harga","Marketplace","Sering","Agak tertarik","Mungkin","netral","kasual"
"35+","m","pakaian-wanita","300-600k","sedang","Setiap bulan","Harga","Marketplace","Sering","Agak tertarik","Mungkin","netral","kasual"
"35+","m","jaket","300-600k","sedang","Setiap bulan","Harga","Marketplace","Sering","Agak tertarik","Mungkin","netral","kasual"
"35+","m","jas","100-300k","sedang","Setiap bulan","Harga","Marketplace","Sering","Agak tertarik","Mungkin","netral","kasual"
"35+","m","celana","100-300k","sedang","Setiap bulan","Harga","Marketplace","Sering","Agak tertarik","Mungkin","netral","kasual"
"35+","m","kaos","<100k","murah","Setiap bulan","Harga","Marketplace","Sering","Agak tertarik","Mungkin","netral","kasual"
"25-34","m","kaos","300-600k","sedang","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","bohemian"
"25-34","m","kaos","100-300k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","bohemian"
"25-34","m","kaos","<100k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","bohemian"
"25-34","m","jaket","100-300k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","bohemian"
"25-34","m","aksesori","<100k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","bohemian"
"25-34","m","kaos","300-600k","sedang","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","bohemian"
"25-34","m","kaos-polo","<100k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","bohemian"
"25-34","m","pakaian-pria","100-300k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","bohemian"
"25-34","m","jaket","100-300k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","bohemian"
"25-34","m","kaos","300-600k","sedang","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","bohemian"
"25-34","m","kaos","300-600k","sedang","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","minimalis"
"25-34","m","kaos","100-300k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","minimalis"
"25-34","m","kaos","<100k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","minimalis"
"25-34","m","jaket","100-300k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","minimalis"
"25-34","m","aksesori","<100k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","minimalis"
"25-34","m","kaos","300-600k","sedang","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","minimalis"
"25-34","m","kaos-polo","<100k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","minimalis"
"25-34","m","pakaian-pria","100-300k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","minimalis"
"25-34","m","jaket","100-300k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","minimalis"
"25-34","m","kaos","300-600k","sedang","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","earth","minimalis"
"25-34","m","kaos","300-600k","sedang","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","vibrant","bohemian"
"25-34","m","kaos","100-300k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","vibrant","bohemian"
"25-34","m","kaos","<100k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","vibrant","bohemian"
"25-34","m","jaket","100-300k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","vibrant","bohemian"
"25-34","m","aksesori","<100k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","vibrant","bohemian"
"25-34","m","kaos","300-600k","sedang","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","vibrant","bohemian"
"25-34","m","kaos-polo","<100k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","vibrant","bohemian"
"25-34","m","pakaian-pria","100-300k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","vibrant","bohemian"
"25-34","m","jaket","100-300k","murah","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","vibrant","bohemian"
"25-34","m","kaos","300-600k","sedang","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","vibrant","bohemian"
"25-34","m","kaos","300-600k","sedang","Jarang","Harga","Marketplace","Sering","Tidak tertarik","Ya","vibrant","minimalis"
